"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Busin M.; Scorcia V.; Zambianchi L.; Ponzin D.","Busin, Massimo (57205977383); Scorcia, Vincenzo (24554546300); Zambianchi, Luca (8592886400); Ponzin, Diego (6603422101)","57205977383; 24554546300; 8592886400; 6603422101","Outcomes from a modified microkeratome-assisted lamellar keratoplasty for keratoconus","2012","Archives of Ophthalmology","130","6","","776","782","6","24","10.1001/archophthalmol.2011.1546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862190713&doi=10.1001%2farchophthalmol.2011.1546&partnerID=40&md5=52415fc18496c11cff39847b303399d4","Article","Final","","Scopus","2-s2.0-84862190713"
"Busin M.","Busin, M. (57205977383)","57205977383","DSAEK for the treatment of endothelial disease: Results in the initial 100 cases","2009","Klinische Monatsblatter fur Augenheilkunde","226","9","","757","760","3","22","10.1055/s-0028-1109545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949679569&doi=10.1055%2fs-0028-1109545&partnerID=40&md5=5b69478c064484763324af9011e0420d","Article","Final","","Scopus","2-s2.0-77949679569"
"Van Rij G.; Busin M.","Van Rij, Gabriel (7005208141); Busin, Massimo (57205977383)","7005208141; 57205977383","Penetrating Keratoplasty Surgery [3] (multiple letters)","2004","Archives of Ophthalmology","122","4","","664","665","1","1","10.1001/archopht.122.4.664-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842530204&doi=10.1001%2farchopht.122.4.664-b&partnerID=40&md5=683dafae21b22971de3d050918fec16c","Letter","Final","","Scopus","2-s2.0-1842530204"
"Ruzza A.; Salvalaio G.; Bruni A.; Frigo A.C.; Busin M.; Ponzin D.","Ruzza, Alessandro (8681862500); Salvalaio, Gianni (6503974063); Bruni, Alessandro (59890552300); Frigo, Anna Chiara (7004070590); Busin, Massimo (57205977383); Ponzin, Diego (6603422101)","8681862500; 6503974063; 59890552300; 7004070590; 57205977383; 6603422101","Banking of donor tissues for descemet stripping automated endothelial keratoplasty","2013","Cornea","32","1","","70","75","5","14","10.1097/ICO.0b013e31825e8442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871668970&doi=10.1097%2fICO.0b013e31825e8442&partnerID=40&md5=fbc421a7df958256d27bdae9e4cd618b","Article","Final","","Scopus","2-s2.0-84871668970"
"Busin M.; Monks T.; Menzel C.","Busin, M. (57205977383); Monks, T. (7005090243); Menzel, C. (35499719600)","57205977383; 7005090243; 35499719600","The use of coralline hydroxyapatite implants for eye replacement after enucleation; [ORBITAIMPLANTATE AUS KORALLINEM HYDROXYLAPATIT ALS BULBUSERSATZ NACH ENUKLEATION]","1994","Klinische Monatsblatter fur Augenheilkunde","204","6","","518","522","4","6","10.1055/s-2008-1045476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027935876&doi=10.1055%2fs-2008-1045476&partnerID=40&md5=c6a770ddf92060aab178bdd278df32d9","Article","Final","","Scopus","2-s2.0-0027935876"
"Busin M.","Busin, Massimo (57205977383)","57205977383","A new lamellar wound configuration for penetrating keratoplasty surgery","2003","Archives of Ophthalmology","121","2","","260","265","5","86","10.1001/archopht.121.2.260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037311861&doi=10.1001%2farchopht.121.2.260&partnerID=40&md5=43b7fe4b3e7adc4fdc05bfd6075e4ec8","Article","Final","","Scopus","2-s2.0-0037311861"
"Busin M.; Zambianchi L.; Franceschelli F.; Lamberti G.; Al-Naweiseh I.","Busin, Massimo (57205977383); Zambianchi, Luca (8592886400); Franceschelli, Fabrizio (55620706500); Lamberti, Giuseppe (7004993642); Al-Naweiseh, Ibrahim (6508364888)","57205977383; 8592886400; 55620706500; 7004993642; 6508364888","Intraoperative cauterization of the cornea can reduce postkeratoplasty refractive error in patients with keratoconus","1998","Ophthalmology","105","8","","1524","1530","6","9","10.1016/S0161-6420(98)98040-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031793599&doi=10.1016%2fS0161-6420%2898%2998040-X&partnerID=40&md5=f4998b116ea6508454d6bf1c2e041a02","Article","Final","","Scopus","2-s2.0-0031793599"
"Patel A.K.; Luccarelli S.; Ponzin D.; Busin M.","Patel, Amit K. (57225970145); Luccarelli, Saverio (36087733500); Ponzin, Diego (6603422101); Busin, Massimo (57205977383)","57225970145; 36087733500; 6603422101; 57205977383","Transcorneal suture fixation of posterior lamellar grafts in eyes with minimal or absent iris-lens diaphragm","2011","American Journal of Ophthalmology","151","3","","460","464.e2","","18","10.1016/j.ajo.2010.08.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951814042&doi=10.1016%2fj.ajo.2010.08.043&partnerID=40&md5=9a70b04132f8916b432206692fd9323d","Article","Final","","Scopus","2-s2.0-79951814042"
"Graffi S.; Leon P.; Mimouni M.; Nahum Y.; Spena R.; Mattioli L.; Busin M.","Graffi, Shmuel (55334445800); Leon, Pia (56900808700); Mimouni, Michael (56351846100); Nahum, Yoav (23493152000); Spena, Rossella (57202377384); Mattioli, Leila (57202375970); Busin, Massimo (57205977383)","55334445800; 56900808700; 56351846100; 23493152000; 57202377384; 57202375970; 57205977383","Anterior segment optical coherence tomography of post-Descemet stripping automated endothelial keratoplasty eyes to evaluate graft morphology and its association with visual outcome","2018","Cornea","37","9","","1087","1092","5","7","10.1097/ICO.0000000000001596","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052592765&doi=10.1097%2fICO.0000000000001596&partnerID=40&md5=3ac31a9fe030817911d203fa95374a28","Article","Final","","Scopus","2-s2.0-85052592765"
"Busin M.; Zambianchi L.; Arffa R.C.","Busin, Massimo (57205977383); Zambianchi, Luca (8592886400); Arffa, Robert C. (6603958650)","57205977383; 8592886400; 6603958650","Microkeratome-assisted lamellar keratoplasty for the surgical treatment of keratoconus","2005","Ophthalmology","112","6","","987","997","10","64","10.1016/j.ophtha.2005.01.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-20144381282&doi=10.1016%2fj.ophtha.2005.01.024&partnerID=40&md5=ac912d13e8b0965764781ee0c2a6115f","Article","Final","","Scopus","2-s2.0-20144381282"
"Busin M.; Beltz J.; Scorcia V.","Busin, Massimo (57205977383); Beltz, Jacqueline (25937133800); Scorcia, Vincenzo (24554546300)","57205977383; 25937133800; 24554546300","Descemet-stripping automated endothelial keratoplasty for congenital hereditary endothelial dystrophy","2011","Archives of Ophthalmology","129","9","","1140","1146","6","69","10.1001/archophthalmol.2011.114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052808312&doi=10.1001%2farchophthalmol.2011.114&partnerID=40&md5=1eab1fb9030d8ee57ecf5cdf027747a5","Article","Final","","Scopus","2-s2.0-80052808312"
"Busin M.; Arffa R.C.; Zambianchi L.; Lamberti G.; Sebastiani A.","Busin, Massimo (57205977383); Arffa, Robert C (6603958650); Zambianchi, Luca (8592886400); Lamberti, Giuseppe (7004993642); Sebastiani, Adolfo (7004882929)","57205977383; 6603958650; 8592886400; 7004993642; 7004882929","Effect of hinged lamellar keratotomy on postkeratoplasty eyes","2001","Ophthalmology","108","10","","1845","1851","6","37","10.1016/S0161-6420(01)00702-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034812870&doi=10.1016%2fS0161-6420%2801%2900702-3&partnerID=40&md5=2555677018777fd7f5cacdbee181a635","Article","Final","","Scopus","2-s2.0-0034812870"
"Parekh M.; Ruzza A.; Ferrari S.; Busin M.; Ponzin D.","Parekh, Mohit (54795700400); Ruzza, Alessandro (8681862500); Ferrari, Stefano (57190211074); Busin, Massimo (57205977383); Ponzin, Diego (6603422101)","54795700400; 8681862500; 57190211074; 57205977383; 6603422101","Preloaded Tissues for Descemet Membrane Endothelial Keratoplasty","2016","American Journal of Ophthalmology","166","","","120","125","5","70","10.1016/j.ajo.2016.03.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968658919&doi=10.1016%2fj.ajo.2016.03.048&partnerID=40&md5=9c14043d86701e08e2c6df1e30e57d61","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84968658919"
"Busin M.; Cusumano A.; Spitznas M.","Busin, Massimo (57205977383); Cusumano, Andrea (7004086488); Spitznas, Manfred (7004671638)","57205977383; 7004086488; 7004671638","Intraocular lens removal from eyes with chronic low-grade endophthalmitis","1995","Journal of Cataract and Refractive Surgery","21","6","","679","684","5","36","10.1016/S0886-3350(13)80566-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028839873&doi=10.1016%2fS0886-3350%2813%2980566-4&partnerID=40&md5=c69049383c49a2f759528ebd98837c49","Article","Final","","Scopus","2-s2.0-0028839873"
"Scorcia V.; Matteoni S.; Scorcia G.B.; Busin M.","Scorcia, Vincenzo (24554546300); Matteoni, Stefania (24481610700); Scorcia, Giovanni Battista (6701643709); Busin, Massimo (57205977383)","24554546300; 24481610700; 6701643709; 57205977383","Pentacam Assessment of Posterior Lamellar Grafts to Explain Hyperopization after Descemet's Stripping Automated Endothelial Keratoplasty","2009","Ophthalmology","116","9","","1651","1655","4","78","10.1016/j.ophtha.2009.04.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69249217750&doi=10.1016%2fj.ophtha.2009.04.035&partnerID=40&md5=0945618b852fd68b624be7430ea0121f","Article","Final","","Scopus","2-s2.0-69249217750"
"Nahum Y.; Leon P.; Mimouni M.; Busin M.","Nahum, Yoav (23493152000); Leon, Pia (56900808700); Mimouni, Michael (56351846100); Busin, Massimo (57205977383)","23493152000; 56900808700; 56351846100; 57205977383","Factors Associated with Graft Detachment after Primary Descemet Stripping Automated Endothelial Keratoplasty","2017","Cornea","36","3","","265","268","3","37","10.1097/ICO.0000000000001123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009380336&doi=10.1097%2fICO.0000000000001123&partnerID=40&md5=2d5cf7b166692cde2d1530946ba44b42","Article","Final","","Scopus","2-s2.0-85009380336"
"Giannaccare G.; Weiss J.S.; Sapigni L.; Bovone C.; Mattioli L.; Campos E.C.; Busin M.","Giannaccare, Giuseppe (55753474700); Weiss, Jayne S. (57208156882); Sapigni, Laura (57196044574); Bovone, Cristina (24476942500); Mattioli, Leila (57202375970); Campos, Emilio C. (57190684719); Busin, Massimo (57205977383)","55753474700; 57208156882; 57196044574; 24476942500; 57202375970; 57190684719; 57205977383","Immunologic stromal rejection after deep anterior lamellar keratoplasty with grafts of a larger size (9mm)for various stromal diseases","2018","Cornea","37","8","","967","972","5","29","10.1097/ICO.0000000000001584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050318778&doi=10.1097%2fICO.0000000000001584&partnerID=40&md5=b826f9cdf042bcf9b20f3e7935183be3","Article","Final","","Scopus","2-s2.0-85050318778"
"Busin M.; Bhatt P.R.","Busin, Massimo (57205977383); Bhatt, Priya R. (15759346400)","57205977383; 15759346400","Late detachment of donor graft after Descemet stripping automated endothelial keratoplasty","2008","Journal of Cataract and Refractive Surgery","34","1","","159","160","1","19","10.1016/j.jcrs.2007.08.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37349118268&doi=10.1016%2fj.jcrs.2007.08.027&partnerID=40&md5=29424b4ee58d1ae4a6f0faed167ca966","Article","Final","","Scopus","2-s2.0-37349118268"
"Busin M.; Madi S.; Scorcia V.; Santorum P.; Nahum Y.","Busin, Massimo (57205977383); Madi, Silvana (55250459000); Scorcia, Vincenzo (24554546300); Santorum, Paolo (55251110300); Nahum, Yoav (23493152000)","57205977383; 55250459000; 24554546300; 55251110300; 23493152000","A two-piece microkeratome-assisted mushroom keratoplasty improves the outcomes and survival of grafts performed in eyes with diseased stroma and healthy endothelium (an American Ophthalmological Society thesis)","2015","Transactions of the American Ophthalmological Society","113","","","T1","1","0","43","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942333305&partnerID=40&md5=7c229d57191032a6fc169ecc4b7d34c4","Article","Final","","Scopus","2-s2.0-84942333305"
"Nahum Y.; Ponzin D.; Busin M.","Nahum, Yoav (23493152000); Ponzin, Diego (6603422101); Busin, Massimo (57205977383)","23493152000; 6603422101; 57205977383","Two cases of ultrathin Descemet stripping automated endothelial keratoplasty utilizing a graft that had undergone radial keratotomy","2016","Indian Journal of Ophthalmology","64","2","","162","164","2","3","10.4103/0301-4738.179713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964723103&doi=10.4103%2f0301-4738.179713&partnerID=40&md5=60d27d906ac5419585c8437b6287a9e1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84964723103"
"Brauweiler P.H.; Wehler T.; Busin M.","Brauweiler, Peter H. (6602387011); Wehler, Thomas (6603386808); Busin, Massimo (57205977383)","6602387011; 6603386808; 57205977383","High incidence of cataract formation after implantation of a silicone posterior chamber lens in phakic, highly myopic eyes","1999","Ophthalmology","106","9","","1651","1655","4","66","10.1016/S0161-6420(99)90352-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033506183&doi=10.1016%2fS0161-6420%2899%2990352-4&partnerID=40&md5=43fdf7f801927d04cc3b06393ac835fc","Article","Final","","Scopus","2-s2.0-0033506183"
"Scorcia V.; Beltz J.; Lucisano A.; Scorcia G.; Busin M.","Scorcia, Vincenzo (24554546300); Beltz, Jacqueline (25937133800); Lucisano, Andrea (54923648200); Scorcia, Giovanni (6701643709); Busin, Massimo (57205977383)","24554546300; 25937133800; 54923648200; 6701643709; 57205977383","Surgical technique for graft exchange after big-bubble deep anterior lamellar keratoplasty","2015","Cornea","34","4","","486","489","3","9","10.1097/ICO.0000000000000365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925233761&doi=10.1097%2fICO.0000000000000365&partnerID=40&md5=4b94927b2b906c01b975580a186bfc35","Article","Final","","Scopus","2-s2.0-84925233761"
"Busin M.; Meller D.","Busin, M. (57205977383); Meller, D. (7004608021)","57205977383; 7004608021","Corneal epithelial dots following excimer laser photorefractive keratectomy","1994","Journal of Refractive and Corneal Surgery","10","3","","357","359","2","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028309699&partnerID=40&md5=a524f5c00389fc193c688265a6d382dc","Article","Final","","Scopus","2-s2.0-0028309699"
"Nahum Y.; Leon P.; Busin M.","Nahum, Yoav (23493152000); Leon, Pia (56900808700); Busin, Massimo (57205977383)","23493152000; 56900808700; 57205977383","Postoperative graft thickness obtained with single-pass microkeratome-assisted ultrathin descemet stripping automated endothelial keratoplasty","2015","Cornea","34","11","","1362","1364","2","30","10.1097/ICO.0000000000000603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944076069&doi=10.1097%2fICO.0000000000000603&partnerID=40&md5=52da1f37d43e2ea797a857eb5548b88e","Article","Final","","Scopus","2-s2.0-84944076069"
"Scorcia V.; Cosimo F.D.; Lucisano A.; Ponzin D.; Scorcia G.; Busin M.","Scorcia, Vincenzo (24554546300); Cosimo, Franco D. (56428013900); Lucisano, Andrea (54923648200); Ponzin, Diego (6603422101); Scorcia, Giovanni (6701643709); Busin, Massimo (57205977383)","24554546300; 56428013900; 54923648200; 6603422101; 6701643709; 57205977383","Inadvertent donor button inversion during big-bubble deep anterior lamellar keratoplasty","2015","Cornea","34","1","","94","96","2","2","10.1097/ICO.0000000000000308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916898497&doi=10.1097%2fICO.0000000000000308&partnerID=40&md5=b8130ffd1bd2050a2abf38c79c8b4c3f","Article","Final","","Scopus","2-s2.0-84916898497"
"Scorcia V.; Lucisano A.; Beltz J.; Busin M.","Scorcia, Vincenzo (24554546300); Lucisano, Andrea (54923648200); Beltz, Jacqueline (25937133800); Busin, Massimo (57205977383)","24554546300; 54923648200; 25937133800; 57205977383","Combined Descemet-stripping automated endothelial keratoplasty and phacoemulsification with toric intraocular lens implantation for treatment of failed penetrating keratoplasty with high regular astigmatism","2012","Journal of Cataract and Refractive Surgery","38","4","","716","719","3","12","10.1016/j.jcrs.2012.01.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858864685&doi=10.1016%2fj.jcrs.2012.01.014&partnerID=40&md5=2fd64166d16d8376f303ea0399ebd742","Article","Final","","Scopus","2-s2.0-84858864685"
"Busin M.; Scorcia V.; Patel A.K.; Salvalaio G.; Ponzin D.","Busin, Massimo (57205977383); Scorcia, Vincenzo (24554546300); Patel, Amit K. (57225970145); Salvalaio, Gianni (6503974063); Ponzin, Diego (6603422101)","57205977383; 24554546300; 57225970145; 6503974063; 6603422101","Donor tissue preparation for Descemet membrane endothelial keratoplasty","2011","British Journal of Ophthalmology","95","8","","1172","1173","1","18","10.1136/bjo.2010.195651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960639610&doi=10.1136%2fbjo.2010.195651&partnerID=40&md5=3ea5d82c98a76092c99d8abb0d4ef155","Letter","Final","","Scopus","2-s2.0-79960639610"
"Scorcia V.; Busin M.","Scorcia, Vincenzo (24554546300); Busin, Massimo (57205977383)","24554546300; 57205977383","Survival of mushroom keratoplasty performed in corneas with postinfectious vascularized scars","2012","American Journal of Ophthalmology","153","1","","44","50.e1","","27","10.1016/j.ajo.2011.05.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83555173278&doi=10.1016%2fj.ajo.2011.05.020&partnerID=40&md5=a80933c155d51cf6834373fe973ad6e7","Article","Final","","Scopus","2-s2.0-83555173278"
"Busin M.; Leon P.; Nahum Y.; Scorcia V.","Busin, Massimo (57205977383); Leon, Pia (56900808700); Nahum, Yoav (23493152000); Scorcia, Vincenzo (24554546300)","57205977383; 56900808700; 23493152000; 24554546300","Large (9 mm) Deep Anterior Lamellar Keratoplasty with Clearance of a 6-mm Optical Zone Optimizes Outcomes of Keratoconus Surgery","2017","Ophthalmology","124","7","","1072","1080","8","46","10.1016/j.ophtha.2017.02.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015623408&doi=10.1016%2fj.ophtha.2017.02.011&partnerID=40&md5=13fb14b7c8f7947c228c9789d521a442","Article","Final","","Scopus","2-s2.0-85015623408"
"Nahum Y.; Bahar I.; Busin M.","Nahum, Yoav (23493152000); Bahar, Irit (8556322100); Busin, Massimo (57205977383)","23493152000; 8556322100; 57205977383","Tectonic descemet stripping automated endothelial keratoplasty for the management of sterile corneal perforations in decompensated corneas","2016","Cornea","35","12","","1516","1519","3","16","10.1097/ICO.0000000000001037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991463623&doi=10.1097%2fICO.0000000000001037&partnerID=40&md5=b4f920b1500e539a20c6239c3976f185","Article","Final","","Scopus","2-s2.0-84991463623"
"Busin M.; Patel A.K.; Scorcia V.; Galan A.; Ponzin D.","Busin, Massimo (57205977383); Patel, Amit K. (57225970145); Scorcia, Vincenzo (24554546300); Galan, Alessandro (7005682262); Ponzin, Diego (6603422101)","57205977383; 57225970145; 24554546300; 7005682262; 6603422101","Stromal support for Descemet's membrane endothelial keratoplasty","2010","Ophthalmology","117","12","","2273","2277","4","35","10.1016/j.ophtha.2010.03.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649871302&doi=10.1016%2fj.ophtha.2010.03.038&partnerID=40&md5=5cebcd2d10d5a82973d8979bb55cdf01","Article","Final","","Scopus","2-s2.0-78649871302"
"Busin M.","Busin, Massimo (57205977383)","57205977383","Microkeratome-assisted superficial anterior lamellar keratoplasty","2006","Techniques in Ophthalmology","4","2","","64","68","4","3","10.1097/00145756-200606000-00006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750354976&doi=10.1097%2f00145756-200606000-00006&partnerID=40&md5=687702ec8f4914c8363a884e35b60242","Article","Final","","Scopus","2-s2.0-33750354976"
"Busin M.; Madi S.; Santorum P.; Scorcia V.; Beltz J.","Busin, Massimo (57205977383); Madi, Silvana (55250459000); Santorum, Paolo (55251110300); Scorcia, Vincenzo (24554546300); Beltz, Jacqueline (25937133800)","57205977383; 55250459000; 55251110300; 24554546300; 25937133800","Ultrathin descemet's stripping automated endothelial keratoplasty with the microkeratome double-pass technique: Two-year outcomes","2013","Ophthalmology","120","6","","1186","1194","8","198","10.1016/j.ophtha.2012.11.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878594946&doi=10.1016%2fj.ophtha.2012.11.030&partnerID=40&md5=90440d99a4cb85dbb22c9db1b9ff42b8","Article","Final","","Scopus","2-s2.0-84878594946"
"Aralikatti A.; Dean S.; Busin M.; Shah S.","Aralikatti, Anil (6602232091); Dean, Simon (7101631593); Busin, Massimo (57205977383); Shah, Sunil (7403887982)","6602232091; 7101631593; 57205977383; 7403887982","Pull-through technique for graft insertion in DSAEK","2008","Journal of Cataract and Refractive Surgery","34","3","","341","","","12","10.1016/j.jcrs.2007.10.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-41949084494&doi=10.1016%2fj.jcrs.2007.10.038&partnerID=40&md5=51632e99d0c5ee85bf366cc49e297820","Letter","Final","","Scopus","2-s2.0-41949084494"
"Busin M.; Leon P.; Scorcia V.; Nahum Y.","Busin, Massimo (57205977383); Leon, Pia (56900808700); Scorcia, Vincenzo (24554546300); Nahum, Yoav (23493152000)","57205977383; 56900808700; 24554546300; 23493152000","Reply","2016","American Journal of Ophthalmology","170","","","239","240","1","0","10.1016/j.ajo.2016.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992448372&doi=10.1016%2fj.ajo.2016.07.005&partnerID=40&md5=7747dc396071ac8d15b56a3d9a0cd0bc","Letter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84992448372"
"Monks T.; Busin M.","Monks, T. (7005090243); Busin, M. (57205977383)","7005090243; 57205977383","Modified surgical technique for autologous conjunctival transplantation after corneal alkali burn; [MODIFIZIERTE TECHNIK ZUR AUTOLOGEN BINDEHAUTTRANSPLANTATION NACH HORNHAUTVERATZUNG]","1994","Klinische Monatsblatter fur Augenheilkunde","204","2","","121","125","4","4","10.1055/s-2008-1035508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028270536&doi=10.1055%2fs-2008-1035508&partnerID=40&md5=a26e6537b402b9a01673e125d1b4b358","Article","Final","","Scopus","2-s2.0-0028270536"
"Busin M.; Zambianchi L.; Garzione F.; Maucione V.; Rossi S.","Busin, Massimo (57205977383); Zambianchi, Luca (8592886400); Garzione, Federico (6506235041); Maucione, Vincenzo (6507063957); Rossi, Scipione (7202573928)","57205977383; 8592886400; 6506235041; 6507063957; 7202573928","Two-stage laser in situ keratomileusis to correct refractive errors after penetrating keratoplasty","2003","Journal of Refractive Surgery","19","3","","301","308","7","24","10.3928/1081-597x-20030501-06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038176576&doi=10.3928%2f1081-597x-20030501-06&partnerID=40&md5=1595753a9354809f6490a67b3e2eb495","Review","Final","","Scopus","2-s2.0-0038176576"
"Gutfreund S.; Leon P.; Busin M.","Gutfreund, Shay (55636382100); Leon, Pia (56900808700); Busin, Massimo (57205977383)","55636382100; 56900808700; 57205977383","Microkeratome-assisted anterior lamellar keratoplasty for the correction of high-degree postkeratoplasty astigmatism","2017","Cornea","36","7","","880","883","3","9","10.1097/ICO.0000000000001232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020941449&doi=10.1097%2fICO.0000000000001232&partnerID=40&md5=a21ff3f863d7deff7c3a0b032a42872c","Article","Final","","Scopus","2-s2.0-85020941449"
"Madi S.; Santorum P.; Busin M.","Madi, Silvana (55250459000); Santorum, Paolo (55251110300); Busin, Massimo (57205977383)","55250459000; 55251110300; 57205977383","Descemet stripping automated endothelial keratoplasty in pediatric age group","2012","Saudi Journal of Ophthalmology","26","3","","309","313","4","32","10.1016/j.sjopt.2012.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864955656&doi=10.1016%2fj.sjopt.2012.04.006&partnerID=40&md5=53422056ad07f240d02c2259ad9051d5","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84864955656"
"Nahum Y.; Busin M.","Nahum, Yoav (23493152000); Busin, Massimo (57205977383)","23493152000; 57205977383","Ultrathin DSAEK","2016","Mastering Endothelial Keratoplasty: DSAEK, DMEK, E-DMEK, PDEK, Air Pump-Assisted PDEK and Others, Volume I","","","","133","141","8","0","10.1007/978-81-322-2818-9_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006511494&doi=10.1007%2f978-81-322-2818-9_8&partnerID=40&md5=5d76a4a713d07bb3a3e9ec6f818a9577","Book chapter","Final","","Scopus","2-s2.0-85006511494"
"Busin M.; Albé E.","Busin, Massimo (57205977383); Albé, Elena (6506815511)","57205977383; 6506815511","Does thickness matter: Ultrathin Descemet stripping automated endothelial keratoplasty","2014","Current Opinion in Ophthalmology","25","4","","312","318","6","73","10.1097/ICU.0000000000000071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902270347&doi=10.1097%2fICU.0000000000000071&partnerID=40&md5=7d3f72cd986edfdb6902e011e3bca6ef","Review","Final","","Scopus","2-s2.0-84902270347"
"Busin M.; Arffa R.C.","Busin, Massimo (57205977383); Arffa, Robert C. (6603958650)","57205977383; 6603958650","Deep suturing technique for penetrating keratoplasty","2002","Cornea","21","7","","680","684","4","10","10.1097/00003226-200210000-00009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036784776&doi=10.1097%2f00003226-200210000-00009&partnerID=40&md5=f59aa8dab663184936ad945d3c11d20d","Article","Final","","Scopus","2-s2.0-0036784776"
"Busin M.","Busin, Massimo (57205977383)","57205977383","Long-term Results of Sutureless Phacoemulsification With Implantation of a 7-mm Polymethyl Methacrylate Intraocular Lens-Reply","1994","Archives of Ophthalmology","112","5","","578","","","0","10.1001/archopht.1994.01090170021005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948007463&doi=10.1001%2farchopht.1994.01090170021005&partnerID=40&md5=59e7ffa261bc11cef63a3e660be50ff8","Letter","Final","","Scopus","2-s2.0-84948007463"
"Ruzza A.; Parekh M.; Ferrari S.; Salvalaio G.; Nahum Y.; Bovone C.; Ponzin D.; Busin M.","Ruzza, Alessandro (8681862500); Parekh, Mohit (54795700400); Ferrari, Stefano (57190211074); Salvalaio, Gianni (6503974063); Nahum, Yoav (23493152000); Bovone, Cristina (24476942500); Ponzin, Diego (6603422101); Busin, Massimo (57205977383)","8681862500; 54795700400; 57190211074; 6503974063; 23493152000; 24476942500; 6603422101; 57205977383","Preloaded donor corneal lenticules in a new validated 3D printed smart storage glide for Descemet stripping automated endothelial keratoplasty","2015","British Journal of Ophthalmology","99","10","","1388","1395","7","40","10.1136/bjophthalmol-2014-306510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942372610&doi=10.1136%2fbjophthalmol-2014-306510&partnerID=40&md5=dd8971faf42c40a6c846413cd415b368","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84942372610"
"Busin M.; Beltz J.","Busin, Massimo (57205977383); Beltz, Jacqueline (25937133800)","57205977383; 25937133800","Deep anterior lamellar keratoplasty after descemet stripping automated endothelial keratoplasty","2011","Cornea","30","9","","1048","1050","2","10","10.1097/ICO.0b013e318207ec97","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051801185&doi=10.1097%2fICO.0b013e318207ec97&partnerID=40&md5=5c5d94339f6bfaf77ccfb9612fecdb84","Article","Final","","Scopus","2-s2.0-80051801185"
